id,value,feed_id,created_at,lat,lon,ele
0FV5A66HJYED09TYKG745Q99M1,34.6286,3025962,2025-03-22 02:16:51 UTC,,,
0FV5A6BE1SG7PYEHS8KQZZSFYF,35.0968,3025962,2025-03-22 02:17:07 UTC,,,
0FV5A6G9XEC27QCKXMJHJMSG7F,35.0968,3025962,2025-03-22 02:17:23 UTC,,,
0FV5A6N6A2KSMCXC7FZMDVE1R4,35.5649,3025962,2025-03-22 02:17:39 UTC,,,
0FV5A6T2QW9M7F8T3FS08B994N,36.0331,3025962,2025-03-22 02:17:55 UTC,,,
0FV5A6YZ5W7HQ6AKKZZ9SYVQNH,36.5012,3025962,2025-03-22 02:18:11 UTC,,,
0FV5A73VJBP89P3MF64W5GM81T,36.5012,3025962,2025-03-22 02:18:27 UTC,,,
0FV5A79V4SC0DPRZPCC88ERVP9,37.4375,3025962,2025-03-22 02:18:46 UTC,,,
0FV5A7EQX1H8BQDNNF9WVPP2HS,36.5012,3025962,2025-03-22 02:19:02 UTC,,,
0FV5A7N027CPX9AKG0MPTSMYTR,37.4375,3025962,2025-03-22 02:19:23 UTC,,,
0FV5A8807C4HD4WWTK4M9TG8ST,38.3737,3025962,2025-03-22 02:20:25 UTC,,,
0FV5A8CVSREYMMGG8VGZ9J2FS0,37.9056,3025962,2025-03-22 02:20:41 UTC,,,
0FV5A8HR256CCRNWQVCMFHN2Y2,37.9056,3025962,2025-03-22 02:20:57 UTC,,,
0FV5A8PME5ZRGZV4J48Z6R3ZXH,37.9056,3025962,2025-03-22 02:21:13 UTC,,,
0FV5A8VGVQYEHCR3PWVPMSF01B,37.9056,3025962,2025-03-22 02:21:29 UTC,,,
0FV5A90DSPE0S6Q0NXK41RH1HA,37.9056,3025962,2025-03-22 02:21:45 UTC,,,
0FV5A9595Z1YTA3KKPFW7MGNT8,37.9056,3025962,2025-03-22 02:22:01 UTC,,,
0FV5A9A5ED9MJM33SBT0C7RQMK,37.9056,3025962,2025-03-22 02:22:17 UTC,,,
0FV5A9F1WQY48E2SNR5WK5YK5V,37.4375,3025962,2025-03-22 02:22:33 UTC,,,
0FV5A9KY7TP3ZT3QMN15KDW3V4,37.4375,3025962,2025-03-22 02:22:49 UTC,,,
0FV5AA4P38QPEE45407ZJ46PQ2,34.6286,3025962,2025-03-22 02:23:44 UTC,,,
0FV5AA9JTQF3A6FF986T6SVXKV,31.3517,3025962,2025-03-22 02:24:00 UTC,,,
0FV5AAEERW21QQ5V7009F7QT6Q,30.8835,3025962,2025-03-22 02:24:16 UTC,,,
0FV5AAKB6AAZED5W3FTFNBQW1T,30.8835,3025962,2025-03-22 02:24:32 UTC,,,
0FV5AAR7Q2KZJ3PZK6XF40WMBZ,30.4154,3025962,2025-03-22 02:24:48 UTC,,,
0FV5AAX3Q8TQQ0GPJSM5YKWGA4,30.4154,3025962,2025-03-22 02:25:04 UTC,,,
0FV5AB2040692CEN8EKN3JVGSW,30.4154,3025962,2025-03-22 02:25:20 UTC,,,
0FV5AB6WHAK24KCDH0K9GY9H17,30.4154,3025962,2025-03-22 02:25:36 UTC,,,
0FV5ABBRK5PVGC7Y1JFV3K2H31,30.4154,3025962,2025-03-22 02:25:52 UTC,,,
0FV5ABGN36WPWKY5A0BHPAFG65,30.4154,3025962,2025-03-22 02:26:08 UTC,,,
0FV5ABNH14PB8EFHR9VM0Z4F24,30.4154,3025962,2025-03-22 02:26:24 UTC,,,
0FV5ABTDFAMFWAFT3HRCT2757X,29.9473,3025962,2025-03-22 02:26:40 UTC,,,
0FV5ABZA1DQ3NEGNDSJQC4KNB0,30.4154,3025962,2025-03-22 02:26:56 UTC,,,
0FV5AC465ZQ7X06CVS731H1BCS,30.4154,3025962,2025-03-22 02:27:12 UTC,,,
0FV5AC92D6D8Q5P388VX73521W,30.4154,3025962,2025-03-22 02:27:28 UTC,,,
0FV5ACDYTTVMZG1PW82JSGW7A4,30.4154,3025962,2025-03-22 02:27:44 UTC,,,
0FV5ACJV8PAR1V39Q1N1MJWA99,30.4154,3025962,2025-03-22 02:28:00 UTC,,,
0FV5ACQQ8XE6ATVZKZ5RJNGHK7,30.4154,3025962,2025-03-22 02:28:16 UTC,,,
0FV5ACWKQJWTPWFEH0YBK404VS,30.4154,3025962,2025-03-22 02:28:32 UTC,,,
0FV5AD1G5QW2WXR95RX1VS2QRT,30.4154,3025962,2025-03-22 02:28:48 UTC,,,
0FV5AD6C73FN93ZP4S994ASH8D,30.4154,3025962,2025-03-22 02:29:04 UTC,,,
0FV5ADB8KMB69C7DCWN3X8Y9DA,30.4154,3025962,2025-03-22 02:29:20 UTC,,,
0FV5ADG55EATM2YSYEQW72CRNT,30.4154,3025962,2025-03-22 02:29:36 UTC,,,
0FV5ADN1MV7ZCQZBGBWJZHP2GJ,30.4154,3025962,2025-03-22 02:29:52 UTC,,,
0FV5ADSXHPW6KEPK1JQYM2DFKC,30.4154,3025962,2025-03-22 02:30:08 UTC,,,
0FV5ADYT3BZYAN5PA1N0BY6HVN,30.4154,3025962,2025-03-22 02:30:24 UTC,,,
0FV5AE3NZ4XQPDA1E3CHXXCGK7,30.4154,3025962,2025-03-22 02:30:40 UTC,,,
0FV5AE8JHGECSPH7M5NW8GEY3R,30.4154,3025962,2025-03-22 02:30:56 UTC,,,
0FV5AEDEY241FFHX8EC7RNHAAD,30.4154,3025962,2025-03-22 02:31:12 UTC,,,
0FV5AEJATWMJMTJK5JZ6DRZ8PE,30.4154,3025962,2025-03-22 02:31:28 UTC,,,
0FV5AEQ7A7D6BGSM048S5WMQ69,30.4154,3025962,2025-03-22 02:31:44 UTC,,,
0FV5AEW3SRX87Z2D8JFXW5EA16,30.4154,3025962,2025-03-22 02:32:00 UTC,,,
0FV5AF0ZQ4BJA2TYDR8SWXKREW,30.4154,3025962,2025-03-22 02:32:16 UTC,,,
0FV5AF5W55TDZDJA8VP6CSX688,30.4154,3025962,2025-03-22 02:32:32 UTC,,,
0FV5AFARMTK7AWVV9VEYQR5BBQ,30.4154,3025962,2025-03-22 02:32:48 UTC,,,
0FV5AFFMKR3K4H519BTXHD617T,30.4154,3025962,2025-03-22 02:33:04 UTC,,,
